Date,Close,PE(TTM),PB(MRQ),PS(TTM)
2010/9/27,4.106,-19.74707794,-6.176591614,16.88317871
2010/9/28,4.28,-20.58390045,-6.438337094,17.59863663
2010/9/29,4.396,-21.14178276,-6.61283408,18.07560921
2010/9/30,4.081,-19.62684441,-6.142637676,16.78038216
2010/10/1,4.12,-19.81440926,-6.201339678,16.9407444
2010/10/4,4.198,-20.18953514,-6.318743682,17.26146698
2010/10/5,4.224,-20.31457901,-6.35787835,17.36837387
2010/10/6,4.092,-19.67974854,-6.159194651,16.82561302
2010/10/7,4.086,-19.65089226,-6.150163574,16.80094147
2010/10/8,4.086,-19.65089226,-6.150163574,16.80094147
2010/10/11,4.048,-19.46813774,-6.092966752,16.64469147
2010/10/12,4.048,-19.46813774,-6.092966752,16.64469147
2010/10/13,4.108,-19.7566967,-6.183277524,16.89140129
2010/10/14,4.15,-19.95868874,-6.246495064,17.06409836
2010/10/15,4.108,-19.7566967,-6.183277524,16.89140129
2010/10/18,4.046,-19.45851898,-6.089956393,16.63646889
2010/10/19,4.01,-19.28538322,-6.035769929,16.48844147
2010/10/20,4.13,-19.86250305,-6.216391473,16.98186111
2010/10/21,4.15,-19.95868874,-6.246495064,17.06409836
2010/10/22,4.144,-19.92983246,-6.237463987,17.0394268
2010/10/25,4.17,-20.05487442,-6.276598655,17.1463356
2010/10/26,4.272,-20.54542542,-6.430126967,17.56574249
2010/10/27,4.2,-20.1991539,-6.321754041,17.26968956
2010/10/28,4.238,-20.38190842,-6.378950863,17.42593956
2010/10/29,4.368,-21.00712013,-6.574624202,17.96047783
2010/11/1,4.282,-20.59351921,-6.446374654,17.60685921
2010/11/2,4.25,-20.43962097,-6.398199972,17.47528076
2010/11/3,4.354,-20.93979073,-6.554767689,17.90291214
2010/11/4,4.98,-23.9504261,-7.497184908,20.47691727
2010/11/5,4.888,-23.5079689,-7.358682697,20.098629
2010/11/8,4.996,-24.02737617,-7.521272249,20.54270744
2010/11/9,4.926,-23.69072342,-7.415890132,20.254879
2010/11/10,5.872,-28.24034119,-8.840054173,24.14467049
2010/11/11,5.607,-26.96587181,-8.441107586,23.05503654
2010/11/12,5.968,-21.87842178,12.65532808,28.10090256
2010/11/15,6.16,-22.58228493,13.06247,29.00495338
2010/11/16,5.934,-21.75377846,12.58323003,27.94081116
2010/11/17,5.898,-21.62180519,12.50689092,27.77130127
2010/11/18,5.978,-21.91508102,12.67653339,28.14798927
2010/11/19,6.198,-22.72159004,13.14305018,29.18387985
2010/11/22,6.68,-24.4885807,14.16514604,31.45342255
2010/11/23,6.914,-25.34641457,14.66135026,32.55523682
2010/11/24,7.094,-26.00628662,15.04304581,33.40278244
2010/11/26,7.064,-25.8963089,14.97942989,33.2615242
2010/11/29,6.866,-25.1704483,14.55956478,32.32922363
2010/11/30,7.066,-25.90364075,14.98367095,33.27094269
2010/12/1,6.87,-25.185112,14.5680469,32.34805679
2010/12/2,6.47,-23.71873093,13.71983457,30.46461868
2010/12/3,6.298,-23.08818626,13.35510326,29.65473938
2010/12/6,6.062,-22.22302055,12.85465798,28.54351044
2010/12/7,6.312,-23.1395092,13.38479069,29.72065926
2010/12/8,6.474,-23.73339462,13.72831669,30.48345184
2010/12/9,6.41,-23.49877357,13.59260272,30.1821022
2010/12/10,6.304,-23.11018181,13.36782645,29.68299103
2010/12/13,6.11,-22.39898682,12.95644346,28.76952362
2010/12/14,5.706,-20.91794014,12.099749,26.86725044
2010/12/15,5.92,-21.70245552,12.5535426,27.87488937
2010/12/16,6.162,-22.58961678,13.06671107,29.01436996
2010/12/17,6.272,-22.99287224,13.29996946,29.53231621
2010/12/20,6.34,-23.24215698,13.44416556,29.85250092
2010/12/21,6.452,-23.65274429,13.68166501,30.37986374
2010/12/22,6.526,-23.92402458,13.83858429,30.72830009
2010/12/23,6.018,-22.06171989,12.76135462,28.33633232
2010/12/27,5.1098,-18.7322979,10.83548851,24.05998611
2010/12/28,5.282,-19.36357498,11.20064392,24.87080574
2010/12/29,5.546,-20.33138847,11.76046407,26.11387444
2010/12/30,5.3,-19.42956352,11.23881348,24.95556068
2010/12/31,5.326,-19.52487755,11.49224907,25.07798386
2011/1/3,5.324,-19.5175457,11.48793355,25.06856728
2011/1/4,5.334,-19.55420494,11.50951118,25.11565208
2011/1/5,5.366,-19.67151642,11.57855962,25.2663269
2011/1/6,5.576,-20.4413662,12.03168998,26.25513268
2011/1/7,5.648,-20.70531464,12.18704896,26.59415245
2011/1/10,5.69,-20.85928535,12.27767503,26.79191399
2011/1/11,5.392,-19.76683044,11.63466147,25.38875198
2011/1/12,5.392,-19.76683044,11.63466147,25.38875198
2011/1/13,5.244,-19.22426987,11.31531246,24.69187927
2011/1/14,5.15,-18.87966919,11.11248268,24.24927139
2011/1/18,5.128,-18.79901886,11.06501188,24.14568138
2011/1/19,4.806,-17.61858177,10.37021199,22.62951469
2011/1/20,4.524,-16.58478165,9.761722646,21.30168915
2011/1/21,4.608,-16.89272118,9.94297479,21.69721222
2011/1/24,4.898,-17.95584869,10.56872624,23.06270409
2011/1/25,4.936,-18.09515572,10.65072126,23.24163055
2011/1/26,4.95,-18.14647865,10.68092995,23.30755234
2011/1/27,4.984,-18.27112198,10.75429391,23.46764374
2011/1/28,4.802,-17.60391808,10.36158093,22.61067963
2011/1/31,4.82,-17.66990471,10.40042068,22.69543457
2011/2/1,4.782,-17.53059769,10.31842566,22.5165081
2011/2/2,4.788,-17.55259323,10.33137224,22.54475975
2011/2/3,4.726,-17.32530403,10.1975909,22.25282669
2011/2/4,4.692,-17.20066261,10.12422693,22.09273338
2011/2/7,4.614,-16.91471863,9.955921372,21.72546387
2011/2/8,4.898,-17.95584869,10.56872624,23.06270409
2011/2/9,4.642,-17.0173645,10.01633875,21.85730362
2011/2/10,4.643,-17.02103043,10.01849652,21.86201286
2011/2/11,4.65,-17.04669189,10.03360086,21.89497375
2011/2/14,4.616,-16.92205048,9.960236899,21.73488045
2011/2/15,4.568,-13.80373478,10.46958759,18.24764252
2011/2/16,4.946,-14.9459877,11.33594138,19.75762749
2011/2/17,4.72,-14.26305389,10.81796266,18.8548317
2011/2/18,4.636,-14.00921917,10.62543959,18.51927948
2011/2/22,4.374,-13.21749973,10.02495099,17.47267723
2011/2/23,4.366,-13.19332504,10.00661546,17.4407196
2011/2/24,4.506,-13.61638165,10.32748723,17.9999733
2011/2/25,4.722,-14.26909733,10.82254654,18.86282158
2011/2/28,4.778,-14.43832016,11.00016428,19.08652306
2011/3/1,4.788,-14.46853828,11.02318681,19.12647057
2011/3/2,4.804,-14.51688766,11.06002285,19.19038391
2011/3/3,4.872,-15.04827118,11.21657605,19.89283943
2011/3/4,4.99,-15.41274071,11.48824189,20.37464523
2011/3/7,4.988,-15.40656376,11.48363738,20.36647797
2011/3/8,4.932,-15.23359489,11.35471122,20.13782501
2011/3/9,4.944,-15.27065945,11.38233826,20.18682289
2011/3/10,4.802,-14.83206081,11.05541835,19.60702324
2011/3/11,4.814,-14.86912537,11.08304538,19.65601921
2011/3/14,4.65,-14.36257458,10.70547591,18.98639297
2011/3/15,4.59,-14.17725086,10.56734073,18.74140739
2011/3/16,4.564,-14.09694386,10.50748216,18.63524628
2011/3/17,4.562,-14.09076691,10.50287765,18.62707901
2011/3/18,4.592,-14.18342781,10.57194524,18.74957275
2011/3/21,4.546,-14.04134655,10.46604161,18.56175041
2011/3/22,4.438,-13.70776463,10.2173983,18.12077522
2011/3/23,4.442,-13.72011948,10.22660731,18.13710785
2011/3/24,4.466,-13.79424858,10.28186138,18.23510361
2011/3/25,4.55,-14.0537014,10.47525062,18.57808304
2011/3/28,4.65,-14.36257458,10.70547591,18.98639297
2011/3/29,4.784,-14.77646351,11.01397779,19.53352737
2011/3/30,4.742,-14.6467371,10.91728317,19.36203766
2011/3/31,5.55,-17.14242744,12.80691825,22.66117859
2011/4/1,5.332,-16.46908569,12.30387173,21.77106285
2011/4/4,5.166,-15.956357,11.92081796,21.09326935
2011/4/5,5.34,-16.49379539,12.32233215,21.8037281
2011/4/6,5.298,-16.36406898,12.22541494,21.63223839
2011/4/7,5.448,-16.82737732,12.57154786,22.24470139
2011/4/8,5.298,-16.36406898,12.22541494,21.63223839
2011/4/11,5.054,-15.61041927,11.66237204,20.63596344
2011/4/12,4.93,-15.22741795,11.37623549,20.12965965
2011/4/13,4.986,-15.40038586,11.50545845,20.35831261
2011/4/14,5.028,-15.53011227,11.60237567,20.52980232
2011/4/15,5.116,-15.80192089,11.80544032,20.88911438
2011/4/18,5.006,-15.46216106,11.55160951,20.43997383
2011/4/19,5.032,-15.54246712,11.61160588,20.54613495
2011/4/20,5.15,-15.9069376,11.88389712,21.02793884
2011/4/21,5.348,-16.5185051,12.34079258,21.83639336
2011/4/25,5.278,-16.30229378,12.17926388,21.55057526
2011/4/26,5.386,-16.6358757,12.42847959,21.99155045
2011/4/27,5.416,-16.72853851,12.49770617,22.11404228
