Date,Close,PE(TTM),PB(MRQ),PS(TTM)
2006/3/12,1.946821408,40.16765213,7.182402219,3.84924377
2006/3/13,2.023535845,41.75045776,7.465424557,4.000923102
2006/3/14,2.074062623,42.79294586,7.651832843,4.100824349
2006/3/15,2.040480801,42.10007095,7.527939531,4.034426569
2006/3/16,1.9813275,40.87959671,7.309705439,3.917469012
2006/3/17,1.992110654,41.10207748,7.349487695,3.9387894
2006/3/18,1.992110654,41.10207748,7.349487695,3.9387894
2006/3/19,1.992110654,41.10207748,7.349487695,3.9387894
2006/3/20,1.971468617,40.67618179,7.27333309,3.897976086
2006/3/21,1.904304972,39.29043579,7.025546465,3.765180526
2006/3/22,1.899991711,39.20144272,7.009633563,3.756652371
2006/3/23,1.853470104,38.24158859,6.838001543,3.664670125
2006/3/24,1.847308302,38.11445618,6.815268825,3.652487047
2006/3/25,1.847308302,38.11445618,6.815268825,3.652487047
2006/3/26,1.847308302,38.11445618,6.815268825,3.652487047
2006/3/27,1.833444247,37.82840729,6.764120209,3.625075119
2006/3/28,1.808797038,37.31987381,6.673189338,3.576342804
2006/3/29,1.920325658,39.62097931,7.084651532,3.796856531
2006/3/30,1.933265443,39.88795853,7.132390239,3.822440997
2006/3/31,1.932341172,39.86888885,7.128980332,3.820613535
2006/4/1,1.932341172,39.86888885,7.128980332,3.820613535
2006/4/2,1.932341172,39.86888885,7.128980332,3.820613535
2006/4/3,1.930184542,39.82439423,7.12102388,3.816349457
2006/4/4,1.884587205,38.88360977,6.952801768,3.726194674
2006/4/5,2.070673632,42.72302246,7.639329848,4.094123656
2006/4/6,2.194833947,45.28475189,8.097394114,4.339612695
2006/4/7,2.150160881,44.36303711,7.932581909,4.251285373
2006/4/8,2.150160881,44.36303711,7.932581909,4.251285373
2006/4/9,2.150160881,44.36303711,7.932581909,4.251285373
2006/4/10,2.115654788,43.65109253,7.805278689,4.183060132
2006/4/11,2.094704661,43.21884155,7.727987448,4.141637663
2006/4/12,2.055269127,42.40518951,7.582498054,4.063665959
2006/4/13,2.047844155,42.25199509,7.555105129,4.048985349
2006/4/14,2.047844155,42.25199509,7.555105129,4.048985349
2006/4/15,2.047844155,42.25199509,7.555105129,4.048985349
2006/4/16,2.047844155,42.25199509,7.555105129,4.048985349
2006/4/17,1.996762815,41.1980629,7.366650897,3.947987625
2006/4/18,2.040172711,42.09371567,7.526802895,4.033817415
2006/4/19,2.022611575,41.73138809,7.462014649,3.999095641
2006/4/20,2.083613417,42.99000168,7.687068556,4.119708121
2006/4/21,2.0654361,42.61495972,7.620007038,4.083768039
2006/4/22,2.0654361,42.61495972,7.620007038,4.083768039
2006/4/23,2.0654361,42.61495972,7.620007038,4.083768039
2006/4/24,2.025692476,41.79495239,7.473381008,4.00518718
2006/4/25,2.038632261,42.06193161,7.521119715,4.030771646
2006/4/26,2.099634102,43.32054901,7.763478437,4.151384126
2006/4/27,2.136913006,44.08970261,7.901318627,4.225091754
2006/4/28,2.168646287,44.74443817,8.018653664,4.28783461
2006/4/29,2.168646287,44.74443817,8.018653664,4.28783461
2006/4/30,2.168646287,44.74443817,8.018653664,4.28783461
2006/5/1,2.144307168,44.24226379,7.92865883,4.239711448
2006/5/2,2.206541371,45.52630615,8.158772204,4.362760545
2006/5/3,2.191753045,45.22118759,8.104091798,4.333521156
2006/5/4,2.191444955,39.50801086,6.968053937,3.801811624
2006/5/5,2.214859804,39.93014145,7.042505238,3.842432696
2006/5/6,2.214859804,39.93014145,7.042505238,3.842432696
2006/5/7,2.214859804,39.93014145,7.042505238,3.842432696
2006/5/8,2.214859804,39.93014145,7.042505238,3.842432696
2006/5/9,2.188364054,39.45246887,6.958257713,3.796466746
2006/5/10,2.175116179,39.21363449,6.916133951,3.773483771
2006/5/11,2.099634102,37.85282135,6.67612647,3.642534264
2006/5/12,2.085770047,37.60287476,6.632043463,3.618482313
2006/5/13,2.085770047,37.60287476,6.632043463,3.618482313
